W {0,1,2,3,4,5,7,9,21,23,31,32,36}
W {0,1,2,3,4,5,7,12,19,20,26,28,38}
W {0,1,2,3,4,5,7,17,18,29,35,36,37}
W {0,1,2,3,4,5,8,10,14,17,18,23,32}
W {0,1,2,3,4,5,8,13,24,25,28,31,34}
W {0,1,2,3,4,5,10,12,14,16,26,27,36}
W {0,1,2,3,4,5,10,19,20,21,30,32,35}
W {0,1,2,3,4,6,8,11,13,21,23,31,33}
W {0,1,2,3,4,6,8,11,16,18,23,31,33}
W {0,1,2,3,4,6,9,11,17,19,30,36,37}
W {0,1,2,3,4,6,7,9,14,15,16,18,27}
W {0,1,2,3,4,6,7,9,14,28,29,30,32}
W {0,1,2,3,4,6,7,16,18,19,20,34,39}
W {0,1,2,3,4,6,10,11,12,18,28,29,32}
W {0,1,2,3,4,6,10,11,22,23,34,35,39}
W {0,1,2,3,4,6,11,12,16,17,21,33,35}
W {0,1,2,3,4,6,13,19,21,29,32,35,36}
W {0,1,2,3,4,6,14,16,21,25,30,32,35}
W {0,1,2,3,4,7,8,10,13,14,21,25,31}
W {0,1,2,3,4,7,8,10,12,17,20,21,30}
W {0,1,2,3,4,7,8,10,14,20,27,29,32}
W {0,1,2,3,4,7,9,11,13,20,21,25,29}
W {0,1,2,3,4,7,9,11,16,19,25,29,31}
W {0,1,2,3,4,7,10,12,16,17,21,25,31}
W {0,1,2,3,4,7,10,15,18,27,30,35,38}
W {0,1,2,3,4,7,11,15,16,19,28,34,35}
W {0,1,2,3,4,7,11,14,16,20,21,30,33}
W {0,1,2,3,4,7,11,21,25,27,30,32,35}
W {0,1,2,3,4,7,13,15,18,25,29,33,34}
W {0,1,2,3,4,8,9,13,14,18,19,28,29}
W {0,1,2,3,4,8,9,16,19,22,26,28,34}
W {0,1,2,3,4,8,9,11,13,29,30,32,35}
W {0,1,2,3,4,8,10,14,24,26,28,29,37}
W {0,1,2,3,4,8,11,12,17,21,24,25,34}
W {0,1,2,3,4,13,14,16,19,21,24,27,30}
W {0,1,2,3,5,7,12,14,15,20,22,25,34}
W {0,1,2,3,5,7,8,10,17,18,21,34,36}
W {0,1,2,3,5,7,8,10,23,25,32,33,36}
W {0,1,2,3,5,7,8,18,23,25,30,31,34}
W {0,1,2,3,5,7,8,19,26,27,29,31,34}
W {0,1,2,3,5,7,10,13,17,21,26,29,31}
W {0,1,2,3,5,7,10,15,23,25,27,32,38}
W {0,1,2,3,5,7,19,22,28,30,33,34,39}
W {0,1,2,3,5,7,19,20,24,25,29,34,35}
W {0,1,2,3,5,6,9,13,24,26,27,30,39}
W {0,1,2,3,5,6,9,15,20,21,33,34,37}
W {0,1,2,3,5,6,9,10,13,21,30,31,34}
W {0,1,2,3,5,6,9,10,18,19,20,21,36}
W {0,1,2,3,5,6,7,10,16,17,23,27,39}
W {0,1,2,3,5,6,7,16,18,19,20,34,39}
W {0,1,2,3,5,6,8,12,14,16,28,31,39}
W {0,1,2,3,5,6,10,12,16,20,21,25,30}
W {0,1,2,3,5,6,10,16,17,19,21,31,35}
W {0,1,2,3,5,6,14,16,18,19,22,34,37}
W {0,1,2,3,5,6,15,20,25,26,31,33,37}
W {0,1,2,3,5,8,11,17,18,21,32,33,37}
W {0,1,2,3,5,8,9,11,18,21,29,36,39}
W {0,1,2,3,5,8,9,11,18,26,32,36,37}
W {0,1,2,3,5,8,10,11,19,24,25,28,31}
W {0,1,2,3,5,9,11,17,20,29,30,32,37}
W {0,1,2,3,5,9,11,19,21,24,25,32,35}
W {0,1,2,3,5,11,12,14,17,22,24,35,37}
W {0,1,2,3,5,11,12,15,18,20,24,36,37}
W {0,1,2,3,5,13,15,21,27,29,34,35,36}
W {0,1,2,3,5,16,17,19,20,29,35,36,37}
W {0,1,2,3,5,18,20,22,29,30,32,34,36}
W {0,1,2,3,6,7,10,13,25,27,29,33,35}
W {0,1,2,3,6,7,8,16,22,28,36,37,38}
W {0,1,2,3,6,7,21,23,30,32,33,35,37}
VERDICT: SAT {0,1,2,3,4,5,7,9,21,23,31,32,36}
COUNT: 69
NODES: 3880965
TIME: 15.575841 s
